count,speed,distance,calorie,day_time,
14715,1.2178274,9440.481,450.01987,1694476800000,
6616,1.4511356,4940.061,204.09105,1694563200000,
6022,1.4788662,4624.12,183.69995,1694563200000,
5151,1.4399607,3721.5715,159.25188,1694563200000,
7724,1.4013473,5776.2324,237.90994,1694649600000,
7174,1.4394134,5510.5605,219.81996,1694649600000,
6490,1.3479803,4600.8545,200.62994,1694649600000,
6474,1.3918741,4782.45,205.23997,1694736000000,
6021,1.4223065,4553.82,189.86998,1694736000000,
5448,1.358793,3895.8599,173.91995,1694736000000,
7668,1.1777387,5674.3496,235.78996,1694822400000,
7668,1.1777387,5674.3496,235.78996,1694822400000,
8163,1.3680854,5925.6504,250.9,1694908800000,
8637,1.3756874,6276.9893,266.69998,1694908800000,
13583,1.4813638,10390.693,432.6,1694995200000,
12371,1.4681436,9396.28,385.05997,1694995200000,
11608,1.5549605,9157.868,389.98984,1694995200000,
5278,1.4171154,3808.689,164.55998,1694908800000,
10930,1.4268055,8303.1,345.31003,1695081600000,
9904,1.4024992,7474.79,308.22998,1695081600000,
9138,1.4831945,7128.579,293.99,1695081600000,
5492,1.4491988,4178.39,169.35997,1695168000000,
5492,1.4491988,4178.39,169.35997,1695168000000,
5797,1.4768624,4453.74,181.79,1695254400000,
4986,1.4944052,3825.09,153.78998,1695254400000,
4700,1.5688635,3743.2507,147.44998,1695254400000,
10884,1.4880732,8440.782,339.2499,1695340800000,
10555,1.4870812,8156.75,326.47998,1695340800000,
4358,1.5497286,3466.8247,138.24988,1695340800000,
15473,1.3453431,11673.128,488.87,1695427200000,
13888,1.2838132,10418.3,427.9,1695427200000,
12076,1.4787786,9334.69,391.77005,1695427200000,
10111,1.4274039,7680.97,316.97995,1695513600000,
8951,1.425204,6783.79,278.06,1695513600000,
8404,1.4726055,6558.4995,269.76996,1695513600000,
5879,1.4524378,4502.8906,185.36993,1695600000000,
5424,1.4547868,4124.38,166.67996,1695600000000,
4782,1.5139979,3772.7336,158.52985,1695600000000,
680,1.2294883,496.12,21.609999,1695686400000,
680,1.2294883,496.12,21.609999,1695686400000,
5064,1.35495,3776.1704,162.62997,1695772800000,
4487,1.3512264,3332.6099,141.37,1695772800000,
4273,1.401396,3273.3506,139.69997,1695772800000,
1113,1.3696781,844.95,34.98,1695859200000,
1113,1.3696781,844.95,34.98,1695859200000,
7365,1.3009701,5146.23,224.19997,1695945600000,
7365,1.3009701,5146.23,224.19997,1695945600000,
9645,1.2715998,6760.7495,292.98996,1696032000000,
9645,1.2715998,6760.7495,292.98996,1696032000000,
17084,1.3188025,12329.041,526.5199,1696118400000,
16563,1.3297166,12071.24,504.74,1696118400000,
7369,1.3558066,5234.7485,236.36995,1696118400000,
9808,1.4118907,7294.1997,302.25998,1696204800000,
8736,1.4548339,6709.33,267.26996,1696204800000,
8767,1.3522547,6216.01,270.0399,1696204800000,
8834,1.2087638,6145.33,270.72,1696291200000,
8703,1.2082502,6054.39,265.91,1696291200000,
174,1.2241703,120.31999,6.1499996,1696291200000,
9631,1.427573,7142.6504,308.40988,1696377600000,
8330,1.4592865,6320.13,266.08997,1696377600000,
8084,1.3556637,5734.717,255.23979,1696377600000,
16421,1.3911142,12153.813,512.61005,1696464000000,
15580,1.4187764,11747.54,483.08994,1696464000000,
12818,1.3736771,9129.732,404.96,1696464000000,
9139,1.496152,7075.801,284.09998,1696550400000,
8779,1.4761312,6702.47,271.07996,1696550400000,
5389,1.6338146,4338.664,175.13995,1696550400000,
9662,1.4201643,7143.4414,296.51996,1696636800000,
8810,1.348671,6215.5503,267.86996,1696636800000,
8427,1.5537554,6707.0635,261.0599,1696636800000,
8946,1.4039376,6628.3496,271.63995,1696723200000,
14019,1.4066628,10353.58,425.63992,1696809600000,
8564,1.3271319,6041.5703,257.45996,1696723200000,
13519,1.3387315,9576.83,407.30988,1696809600000,
12649,1.5305543,10017.03,389.35962,1696809600000,
7305,1.5524771,5837.699,225.37987,1696723200000,
10669,1.4123803,7858.966,334.08994,1696896000000,
10103,1.338274,7027.8296,313.27,1696896000000,
9300,1.5649719,7443.0845,292.93982,1696896000000,
9315,1.265694,6530.5996,284.78995,1696982400000,
9315,1.265694,6530.5996,284.78995,1696982400000,
4861,1.4465245,3746.1602,150.63998,1697068800000,
4861,1.4465245,3746.1602,150.63998,1697068800000,
13356,1.4734976,10283.28,408.43997,1697155200000,
13356,1.4734976,10283.28,408.43997,1697155200000,
6984,1.3883536,5314.0996,215.37999,1697241600000,
6984,1.3883536,5314.0996,215.37999,1697241600000,
8918,1.4940766,6953.5283,278.08987,1697328000000,
8186,1.4858103,6338.38,252.33997,1697328000000,
6720,1.5887938,5379.41,208.49988,1697328000000,
11312,1.4837255,8682.494,355.33987,1697414400000,
10312,1.4736884,7863.56,316.66998,1697414400000,
9489,1.5249695,7468.8936,309.34995,1697414400000,
15305,1.4573017,11812.929,475.1798,1697500800000,
14196,1.4282166,10825.2,438.51996,1697500800000,
13570,1.5151237,10755.498,421.92975,1697500800000,
12346,1.5162469,9628.172,382.58994,1697587200000,
11295,1.4944518,8709.16,347.27997,1697587200000,
10789,1.5781605,8595.133,335.18985,1697587200000,
20784,1.4767169,16148.576,644.8699,1697673600000,
18990,1.424634,14487.24,590.61993,1697673600000,
18494,1.5324167,14686.732,570.96,1697673600000,
9662,1.3374282,6946.5205,299.8799,1697760000000,
8773,1.2760538,6087.62,269.69998,1697760000000,
7466,1.4907494,5842.911,231.47992,1697760000000,
7951,1.2450322,5553.35,241.11996,1697846400000,
10763,1.2968342,7591.1997,324.23996,1697932800000,
10763,1.2968342,7591.1997,324.23996,1697932800000,
7951,1.2450322,5553.35,241.11996,1697846400000,
9888,1.3685982,6929.47,306.36,1698019200000,
9888,1.3685982,6929.47,306.36,1698019200000,
9066,1.2897414,6503.252,274.90994,1698105600000,
8168,1.2406815,5687.11,245.62994,1698105600000,
7332,1.3896544,5567.7905,227.26997,1698105600000,
7995,1.3797797,5788.87,247.80998,1698192000000,
6936,1.3171946,4809.49,211.79997,1698192000000,
6562,1.5090375,5101.592,206.73993,1698192000000,
9626,1.3122557,6725.73,288.62,1698278400000,
9626,1.3122557,6725.73,288.62,1698278400000,
9270,1.3438531,6667.2114,294.27994,1698364800000,
7971,1.2876278,5519.45,250.45998,1698364800000,
7006,1.4732804,5420.2695,226995,1698364800000,
8954,1.3532587,6633.1,277.63,1698451200000,
8828,1.3445562,6495.82,270.69,1698451200000,
13550,1.509352,10525.7295,420.83,1698537600000,
8592,1.466421,6609.33,266.99002,1698624000000,
8238,1.454698,6316.2,255.73999,1698624000000,
13098,1.5072013,10180.649,404.69,1698537600000,
3468,1.4161823,2646.8696,116.92001,1698451200000,
5347,1.4501449,4163.75,167.56999,1698537600000,
2975,1.5198877,2334.53,92.309975,1698624000000,
2349,1.234295,1752.25,72.74,1698710400000,
2349,1.234295,1752.25,72.74,1698710400000,
7590,1.5039032,5842.2095,242.62993,1698796800000,
6445,1.4766413,4889.12,199.36998,1698796800000,
6434,1.561727,5051.289,217.82994,1698796800000,
7885,1.5041089,6105.091,250.87997,1698883200000,
6937,1.4836113,5294.1997,216.66998,1698883200000,
7178,1.5448196,5665.891,239.84995,1698883200000,
7101,1.5471779,5573.16,224.84999,1698969600000,
6610,1.5160812,5096.77,203.38995,1698969600000,
5980,1.6228944,4772.21,204.51001,1698969600000,
15579,1.4692887,12025.08,481.13992,1699056000000,
4217,1.4420166,3267.6199,131.81,1699142400000,
14777,1.4644123,11379.35,451.53995,1699056000000,
4217,1.4420166,3267.6199,131.81,1699142400000,
10223,1.5309235,8067.351,329.12006,1699056000000,
11526,1.4390645,8797.22,356.61996,1699228800000,
11526,1.4390645,8797.22,356.61996,1699228800000,
7271,1.4809492,5625.152,227.29993,1699315200000,
6790,1.4584183,5200.51,210.15997,1699315200000,
5909,1.5496505,4682.773,184.72995,1699315200000,
6511,1.4023958,4797.3003,206.18996,1699401600000,
6145,1.3738842,4453.9897,187.07997,1699401600000,
5274,1.4637481,4025.7803,187.16994,1699401600000,
6514,1.3763034,4580.64,198.78998,1699488000000,
6514,1.3763034,4580.64,198.78998,1699488000000,
8715,1.3555806,6127.75,266.23996,1699574400000,
8715,1.3555806,6127.75,266.23996,1699574400000,
5522,1.2888966,3889.19,166.55998,1699660800000,
5522,1.2888966,3889.19,166.55998,1699660800000,
5255,1.3199557,3697.2498,160.62994,1699747200000,
5255,1.3199557,3697.2498,160.62994,1699747200000,
707,1.6130866,611.91,29.89,1699833600000,
707,1.6130866,611.91,29.89,1699833600000,
3302,1.3208315,2329.06,99.78,1699920000000,
3302,1.3208315,2329.06,99.78,1699920000000,
6139,1.3867825,4340.3105,185.36996,1700006400000,
6139,1.3867825,4340.3105,185.36996,1700006400000,
7793,1.4061137,5650.38,243.27,1700092800000,
7509,1.3755744,5333.8,230.01999,1700092800000,
4694,1.530788,3711.39,150.47,1700092800000,
1030,1.2373134,721.64,31.13,1700179200000,
1030,1.2373134,721.64,31.13,1700179200000,
961,1.1648667,660.68,28.789997,1700265600000,
961,1.1648667,660.68,28.789997,1700265600000,
2650,1.1573446,1830.52,80.55,1700352000000,
2650,1.1573446,1830.52,80.55,1700352000000,
1974,1.4221075,1411.4202,59.229984,1700438400000,
1974,1.4221075,1411.4202,59.229984,1700438400000,
2021,1.3487822,1435.0503,60.319984,1700524800000,
2021,1.3487822,1435.0503,60.319984,1700524800000,
6130,1.2731925,4272.3096,187.23997,1700611200000,
6130,1.2731925,4272.3096,187.23997,1700611200000,
11298,1.298832,7872.6504,346.06995,1700697600000,
11298,1.298832,7872.6504,346.06995,1700697600000,
2539,1.2782768,1781.04,77.97999,1700784000000,
2539,1.2782768,1781.04,77.97999,1700784000000,
7734,1.1282026,5301.23,233.48999,1700870400000,
7734,1.1282026,5301.23,233.48999,1700870400000,
515,0.99457985,345.06,15.7699995,1700956800000,
515,0.99457985,345.06,15.7699995,1700956800000,
447,1.1622753,307.35,13.269999,1701043200000,
447,1.1622753,307.35,13.269999,1701043200000,
4966,1.3297983,3536.1504,154.15997,1701129600000,
4966,1.3297983,3536.1504,154.15997,1701129600000,
1060,1.2642025,745.91,32.179996,1701216000000,
1060,1.2642025,745.91,32.179996,1701216000000,
7180,1.3715938,5051.08,219.02998,1701302400000,
6979,1.3004134,4942.5103,213.56998,1701388800000,
7180,1.3715938,5051.08,219.02998,1701302400000,
6979,1.3004134,4942.5103,213.56998,1701388800000,
5189,1.184953,3577.3,156.56999,1701475200000,
5189,1.184953,3577.3,156.56999,1701475200000,
9022,1.1973491,6233.65,272998,1701561600000,
9022,1.1973491,6233.65,272998,1701561600000,
